sentiment,text
shame,i feel shame when sometimes unconsciously i behave unethically  and without understanding the problems of the man i love
guilt,when i offend somebody unfairly
joy,a quarrel was followed by the decision of leaving a person close  to me several days later my regret was great i was beside  myself quite unexpectedly he came and the conflict was calmly  solved i was glad at the possibility to be with him
fear,one evening i was watching the news on tv again they were  talking about the danger of war suddenly i imagined what it  might mean for me for my friends for the people close to me i  felt it a very near and possible event
anger,unfair and unjust attitude toward a person close to me what i  was the witness of caused anger in me
sadness,the thought that ill never sit at the school desk again caused  a deep grief at the end of my eleventh form
disgust,i felt disgust with a person whose behaviour was out of the  elementary human norms
shame,i had not punched a ticket in the bus because i had a card but  when the ticketcollector came it turned out that i had forgotten  it the shame i felt was great though it was not done on purpose
guilt,at a moment of affect i offended a person very close to me he  had given me ground for that but it was a trifling in comparison  with the way i insulted him a moment later i felt a sense of  guilt
joy,when i understood i was admitted to the sofia university
fear,i broke my knee when i was skiing over yastrebetz a racing  track in a bulgarian winter resort
anger,the doctors from belogradchik town determined a wrong diagnosis  to my son a month later after some complex examinations at isul  a medical institute in sofia the diagnosis was categorically rejected
sadness,my son lives with my parents in the country and i feel this  feeling always when leaving for sofia but the last time it was  quite strong
disgust,a colleague of mine asked a lecturer to put him a higher mark in  order to keep his good mards and thus to continue getting a  scholarship for an excellent grade
shame,i felt this feeling during the exam in higher mathematics
guilt,my son drank four pills of diazepam every two hours instead of  amidophen
joy,i am a sportwoman as well i felt joy when after an year of  practice at a contest i covered the norms for a master of sports
fear,i felt fear once when the car in which i travelled directed  towards the precipice along the road
anger,when i see how people around me pass by certain unjustice because  of indifference or cowardice
sadness,when i left a man in whom i really believed
disgust,disgust with drunk people
shame,when i try to lie
guilt,when i had had the possibility to act or to do certain activity  better but i had not done it because of reluctance or  carelessness
joy,when i was admitted to the university
fear,when i broke my leg i felt fear
anger,when someone lies to me
sadness,at an unjust insult or injure
disgust,from the cigarette smoke usually i feel disgust from it when i  am in a restaurant
shame,when i promise to do something but i dont fulfill it
guilt,when i dont fulfill my obligations
joy,when my affairs with the girl i love settled positively
fear,in a dam lake when the water was let flow to water the plants  and i and two other boys were near the water pit we rescued  ourselves only thanks to the flippers and the tyre that was with  us
anger,it was quite recently at the football match between the national  teams of bulgaria and france i felt strong anger with the scottish  referee who ran the match quite partially
sadness,when i am alone and listen to a song which i like very much and  which i had listened before together with friends
disgust,a striking act of ingratitude at a public vehicle
shame,i counterfeited a mark in the school register during the lesson  in gymnastics i felt this feeling two days later when i stood  face to face with my teacher whom i highly appreciated and  respected
guilt,in a fit of temper i told things that were unjust and they  greatly hurt my mother though she didnt show it
joy,i passed successfully the preliminary exam for a participation in  the children assembly
fear,i was alone in my room at the boarding house when at 12 oclock  someone knocked violently on the door
anger,a friend of mine promised to come with me to the cinema but he  didnt come
sadness,i felt sadness when i remembered my former boyfriend with whom i  got separated an year ago and when comparing him with my present  one with whom things are not much of a success
disgust,recently in the tram a man ran his fingers over my girlfriend  then over me
shame,i had to prepare a report but i couldnt write it i read from a  book offhand i was quite uneasy and i felt i didnt manage
guilt,my father got a slight heart attack after a telephone call of  mine
joy,bulgaria won a football match against france
fear,i was going to knock down a pedestrian with my car
anger,i was neglected undeservedly
sadness,my grandmother died
disgust,a man was unfair to a girlfriend of mine
shame,i didnt offer my seat to a pregnant woman in the bus
guilt,i didnt attend lectures
joy,i felt joy when my two twin sisters were born
fear,the night before my wife had given birth to our twins i felt  fear in the hospital yard i feared if everything was going to be  in order
anger,about a month ago the regional council refused to pay my wife the  due maternity benefit because of bureaucratic reasons
sadness,some months ago my wife gave birth to twin sisters she had no  idea of looking after babies and she felt quite oppressed the  fact that i couldnt help her caused grief to me
disgust,i feel disgust with some people when i see what they are capable  of including lack of any dignity when trying to find a seat in  the tram
shame,some days ago i had a car accident it was quite slight but  through my fault i felt strong shame because i had the spirits  of a good driver
guilt,some days ago i had a slight car accident through my fault
joy,the period when i was pregnant and when i gave birth to my son  i can say those were the happiest months in my life
fear,a fear from the loss of a close friend as a result of his  behavior
anger,when i encountered not only with my fathers lack of  understanding but also with his unwillingness to understand me as  a parent as far as things for which i not he have proves to be  right are concerned
sadness,from the fact that my husband and i are not in good terms
disgust,i was disgusted from a quarrel between two married people in  which the children were involved as accusers of one of the  parents
shame,when i dont succeed to fulfill a promise
guilt,when i am not able to fulfill any request of my son cant take  him out to ride his byke because i am tired
joy,i felt joy when i saw my daughter after a separation of twenty  days
fear,i felt fear when i sat for one of my exams though my fear was  not quite justifiable i still remember about it
anger,i thought him a good friend but he tried to lie to me several times  last time was the height of impudence he promised he would come  home but he didnt i felt a sense of anger and insult
fear,a fear of lack of personal powers
anger,at an undeserved attitude toward a man when human personality is  not treated decently
sadness,at an irrevocable loss with respect to human relations
disgust,at an unworthy behaviour of a man pettiness stupidity and  mostly at a philistinism
shame,at a weakness on my part
guilt,when i dont justify the confidence of people that i respect
joy,when i was admitted to the university
fear,because of a conflict with my parents there was a possibility to  interrupt my studies
anger,i feel a strong anger when i am treated unjustly
sadness,at a prolonged separation with my family
disgust,i was looking for an object when i came across a rotten corpse of  a rat
shame,i feel this feeling at one and the same degree when i am not  prepared to overcome certain obstacle in my life
guilt,i offended a person who had done much for me and who had helped  me for everything
joy,the day when my son said for the first time mummy
fear,before an exam in logics
anger,my husband and i were invited at the house of our nieghbours then  we got an invitation on the part of my parents which we had to  refuse a a result they called me by words that provoked my  anger
sadness,my son lives in the country i feel sadness when i see mothers  having walks with their children
disgust,the behaviour of a colleague of mine which doesnt correspond to  my norms of behaviour
shame,i was to take part in a cocktail party on the occasion of our  national holiday as a servant
guilt,i ignored and offended my parents on the eve of the new year
joy,the sense of joy comes to me always after a period of depression  as an organic feeling for an upsurge i dont exclude the  situative feeling but in this case the reason is not in me its  out of me
fear,i bet that i would jump down from a window i was sure that i  would jump but before i did it i rather felt fear
anger,a honest sliding on the part of a girlfriend of mine  terribly crossed i started breaking things and tearing books
sadness,alone i am coming back home in the night after the serial  explanation
disgust,a lie on the part of a person close to me
shame,i thought i had taken a decision but i hesitated
guilt,i feel this feeling most often before me not before the others  my outside is iron but actually im wasting away
joy,my son was born
fear,i had a car accident
anger,i was drawn up a statement for an infringement of the traffic  ordinance in fact i was innocent
sadness,i lost a close friend
disgust,i saw a film about the nazi concentration camps during the war  after the film i felt disgust
shame,i was nailed i lied in connection with a book which i took from  the library because i had to keep it for a longer time
guilt,i didnt give back in time some money that i had borrowed my  friend relied on them
joy,after 10 days of hard work and having suffered many changes i  passed my last exam
fear,before going to the dentist
anger,when i am made to do things in which i see no sense and i waste  my time some time ago i had to participate in a sociological  investigation and then i got really angry
sadness,when i feel i must be with somebody to talk with somebody but  i am alone
disgust,some time ago a man tried to teach me something tried because  it is very difficult to teach somebody when you yourself are not  competent and cultured
shame,i am ashamed when i am not ready for my seminar in internal  diseases simply because the assistant professor is a person who  deserves high respect
guilt,we had promised with a friend of mine to take our friends to a  restaurant and after having looked for a place for hours without  finding one and not being helped by the others we had to give up  the idea
joy,when i am with friends and i do what pleases me this often  happenes
fear,when i have to go in for an exam and the examinor is a person  with a whimsical character and unsteady requirements
anger,i unfairly got a low mark on an exam and i failed to win a grant  since then i dont have much confidence in myself at an exam
sadness,it happened that i was alone with no contacts with friends
disgust,i met three drunk boys almost children they didnt look like  normal people
shame,i was totally unprepared for a seminar conducted by an assistant  professor whom i highly respect
guilt,i got back too late after a sunday going out without having  called up home to tell where i was my mother hadnt slept the  whole night
joy,i was happy when i understood that the girl i liked was in love  with me
fear,i am afraid before an exam or colloquium
anger,i get angry when my smaller brother misbehaves and talks with indecent  words
sadness,when my dog was stolen
disgust,i detest any kind of constraint and hate the attempts of elder  people to force me to a norm of behavior without having legal or  moral rights to do it i felt this emotion when a neighbour of  mine made me kick out my guests because they had talked very  loudly and threatened that with connections she will expel me  from the inst
shame,i experienced long ago when i was sightseeing bulgarians in a  foreign language
guilt,my mother developed hipertonia and i think i too am to blame  bacause with her it is a stress disease
joy,when i met with friends that i hadnt seen for a long time
fear,one evening a friend of mine was telling a fearful story nobody  took it seriously but i got frightened
anger,i got angry with a stranger in a train who behaved impertinently  and immorally
sadness,when i failed at the first entrance exam
disgust,the event which got me angry got also an aversion in me
shame,once i was not ready for a seminar and i was asked to leave
guilt,i felt guilty when once i made my mother angry
joy,six months ago when i got acquaintanced with a person whom i  trusted infinitely and from whom i expected help and friendly  feelings with him i found much in common in our views and in  our fate
fear,few days ago i really experienced fear it was connected with  unexpected actions on the part of a group of people this evoked  in me many negative emotions
anger,i always get angry when somebody deceives me or tries to conceal  his lie skilfully and this offends me even more
sadness,sadness this is an emotion which i have felt very often  recently i cant remember a concrete example i will describe my  general impression from severl situations which evoked this  feeling in me
disgust,i became disgusted with the man on whom i had counted who i had  trusted the man who should have been my mainstay my father  i could hardly make myself and the others believe in this  emotion it has cumulated after events and deeds everything can  happen in this world
shame,i am ashamed of the way my father behaves with my mother and  sister and with me too
guilt,i didnt keep a promise i had made to a man and in this way i  lost his esteem and confidence in me i caused him a lot of  trouble
joy,when i was accepted as a student
fear,i was a bit frightened when it was found that there was something  wrong with my liver however it turned out that it was not  serious and i need not worry
anger,with the girl whom i may be loved truly when she refused to come  with me to an occasion she was from another town
sadness,for the girl who halped me go on living and made me happy when  i dont see her even for two or three days
disgust,for a drunk man about 20 years old that i met one evening and  who behaved impudently with the girls standing by
shame,i was embarassed at the exam in microbiology i was ashamed with  myself how little i knew and how good was the examinor i  rarely become ashamed
guilt,recently when i made a slip and blurted out indecent words in my  mothers presence
joy,i felt it when on duty in the hospital i understood that i was  not afraid to face death that i also helped a little to relieve  the pains of a patient
fear,fear overwhelmed me when right against the car i was in i saw  another one as if out of control of the driver
anger,i felt it when a girl who was dear to me lied to my face i got  angry with the fact that she knew i didnt believe her but she  kept on telling lies
sadness,sadness no i felt something much stronger when my father died
disgust,i got disgusted with a man who was beating a woman in the street  i just happened to be there but i was abhorred by the rudness
shame,i was ashamed of the way i deceived that i could not help a  friend although it was absolutely possible for me nothing was  revealed but i havent called up this person since then
guilt,i had an appointment with a colleague of mine to give her my  lecture notes i couldnt go and i didnt send them and so the  girl missed a day for the preparation of her term exams
joy,when i knew that my husband and i were going to have a child
fear,two years ago i saw a film on the tv even now it makes me  afraid
anger,when my husband stays late at a meeting and i have to be alone
sadness,the loss of a person i loved very much
disgust,deception from a person i loved very much
shame,i didnt tell my parents that i was going to sofia i told them  that i was going to a seminar my mother knew that i was lying but  she didnt stop me
guilt,the assistant professor saw me cheat at the preliminary  examination
joy,i was very happy when i got the message that i had been accepted  as a student in medicine
fear,i felt something close to that when i saw that there was a man on  the terrace of the flat
anger,i got angry when i learned how short a time we had to prepare for  the term examinations
sadness,i felt sad when my first boyfriend and i left each other it was neither  his fault nor mine
disgust,i felt it today when the bus driver shouted rather indecent words  at a man without any reason whatsoever
shame,at an exam in pharmacology i tried to prompt a coleague she  asked me something and the assistant professor made me a sharp  remark
guilt,my grandmother has been in a hospital for a week and i still  havent had time to see her
joy,when i learned that my parents were going abroad and leaving me  alone for a few years
fear,i was at the seaside and my brother disappeared for a couple of  hours
disgust,some time ago i was disgusted with the cleanness of the  refectory of our institute
shame,we were at a football match and when we were leaving the stadium  the stadium was packed with people and i lost my shoe in the  crowd our attempts to find it didnt give any result and i had  to go home without one shoe in other words to cross the whole  town
guilt,i felt guilty last year during the winter term exams a colleague  of mine asked me to give him my lecture notes i had very good  notes and i had passed my exam in advance but i still dont know  why i didnt give them to him that colleague failed and he was  on the verge of not passing it at the supplementary examinations
joy,when i was admitted to the institute i had problems with many  people about my applying for this institute and i decided to  prove that one can pass excellently without visiting any  preparatory couse that is i proved what i could do on my own
fear,once as a child i dreamed of a fire since that time i hadnt  wanted to sleep in that bed and had feared the night darkness  and so it is now
anger,a chief was unjustly punished on an autumn brigade and the one  who was really guilty kept silent i stepped in front and told  the truth the guilty chief called me in after the rollcall and  threatened me
sadness,years ago i fell in love for the first time as natural for every  schoolgirl i was daydreaming later after 3 years we left  each other no one was to blame but i felt deep sadness even now  i remember about it quite often
disgust,it was at a comsomol meeting the last one because we were to  graduate the way one of my fellowstudents behaved made me feel  disgusted
shame,i was at a childrens camp abroad the people the leaders my  coevals were very king to us one night we smeared our foreign  friends with toothpaste while they were sleeping and then we  roused the whole camp by our shouts later i was so sorry i  didnt utter a word for two days then i went to apologize
guilt,when i was in the fifth class the rating was done in our  markbooks i hadnt been examined yet but i had heard from my  classmates about the scolding they had got at home my first  mark was in geography good 4 i judged i had known for more  than that and i put down very good for fear of being scolded  naturally my parents guessed all about it they rebuked me for  what i had done
joy,when i learned i was admitted to study what i wanted most  floriculture this is a narrow specialization from the general  one
fear,i was walking on the pavement when a white car rolled on it and  directed towards me i was quite near the house wall when it  rolled by and hit me
anger,my grandmothers brother had taken active part in the resistance  movement he had been in prison many times and there he lost his  health he became an invalid when we phoned to first aid the  nurse on duty behaved quite unkindly when she understood how old  he was 79
sadness,my boyfriend is a soldier he was on a leave i felt sad when we  had to get separated again
disgust,i felt disgusted about a teacher who had rejected all that was  human in her she refused to accept the flowers we gave her for  the eighth of march and asked for a foreign parfume instead
shame,i was examined by a teacher i greatly respected i was well  prepared on the subjects but he put some sideissues to me and i  couldnt answer
guilt,i had undertaken to help my sister for her class work but some  unexpected circumstances prevented me from doing that
joy,i was very glad when i learned i was a student already i heard  about it over the phone i didnt believe it at first
fear,i had worries about a certain illness
anger,i suffered from a gynaecological illness i was quite displeased  to hear that my roommates had talked about it and they had  misrepresented the truth i felt deeply hurt when i learned that  it was done by a good acquaintance of mine
sadness,when my first boyfriend left me i tried not to let him  understand i felt miserable
disgust,i hate hypocrisy my friend girl tried to intrude into my  affairs with my future husband after that she behaved as if  nothing had happened
shame,i feel shame when i have made a promise i cant keep it and this  has negative effects which are caused by my behavior
guilt,i felt it when i came home after the examination session and i  said i had not passed my last exam
joy,i felt glad when i took the rather difficult organic chemistry  examination
fear,this was what i felt when my boyfriend went to bourgas to study  there i had the feeling i would lose him anyway the distance  plovdivbourgas seemed to me so great
anger,i confronted with this feeling at the institute quite recently  the pedology lecturer was the cause
sadness,this feeling was quite deep when my friend girl died in a car  accident
disgust,i am disgusted with the behavior of a car driver whose car would  run over me and my friends during our autumn brigade
shame,i felt shame when i discontinued my education for eight months
guilt,the sense of guilt came over me too when i interrupted my  studies why because i felt guilty before my parents they  believed in me though this event did not make them disbelieve me
joy,i sensed a strong feeling of joy when in the plant at my working  place i got a message that i was admitted as full time student at  the higher agricultural institute
fear,fear when fulfilling my obligations on my first night fatigue  duty as a soldier
anger,when on a car journey a fellow student crossed our way with his  own car and we had to bump into a roadside trunk
sadness,the loss of a close relative who was ill with cancer
disgust,i am disgusted with a nieghbour who is looking for all sorts of  quarrel with my parents and me he feels we are hampering his  living close to us this has been going on for quite a long time
shame,some time ago i promised to meet an acquaintance of mine and to  carry him some promised papers i havent done it until this day  now i feel quite awkward when i meet him
guilt,a sense of guilt before my parents when i had to discountinue my  studies in the first year because of unpassed exams
joy,after a difficult exam when i had not hoped to take it and had  got a high mark when you present someone with something and he  feels glad
fear,fear from the unknown i felt fear when i sat for the entrance  examinations
anger,i feel angry at peoples indifference at our ability to be  present at an event and to stay partial to what happens
sadness,when you are far away from relatives and friends i feel sad for  my early years for the freedom and the carefree years of  childhood
disgust,i feel disgusted with the bootlickers with helpless people
shame,i feel ashamed when i act dishonestly toward somebody
guilt,i didnt visit a very close friend at the hospital and some days  later he died
joy,i was sitting for an exam in biochemistry i was very excited  because it was a supplementary examination i passed the exam  very well and was glad because i recovered my selfconfidence
fear,students fear many things but we seem to fear the examinations  most of all i remember i was horror stricken before my  microbiology exam because it was a decisive one
anger,it was necessary to organise a competition in connection with a  celebration everyone was to be present at that event it turned  out that there was no audience at all because everyone had  pretended to be very intelligent and no one had come i got  furious
sadness,when i part with my friends i feel always sad for some time i  cant remember a concrete example now for example i have just  parted with a friend of mine and i am feeling sad
disgust,in autumn i had to move to another lodging my landlords quite  intelligent people warned me i had to move in the nearest  future but i had difficulties in moving my luggage because i  couldnt wait for a car to come how amazed i was to hear them  threatening me they would throw our my things and at that my  luggage was well packed and did not stand in their way i was  quite disappointed and disgusted
shame,during our last exarcise in agricultural machines we went out in  the yard to examine a row of machines but we seemed not to have  fulfilled our task well because when our teacher came and asked  me a question i was unable to answer i felt awkward because he  didnt deserve it
guilt,i remember about an unpleasant event in relation to my mother i  felt guilty before her
joy,when i succeded in establishing a contact with a girl who is now  my girlfriend
fear,i fear before each exam
anger,when my bosom friend tried to lie to me
sadness,when i quarrelled with a very close friend of mine
disgust,when i see the acts and deeds of a blind drunk man
shame,when i wasnt well prepared for a terminal exam and the teacher  tried to give me a three by asking me some very easy questions i  burned with shame then
guilt,when once my mother asked me to do some work for her at home  because she was busy and moreover this work was to be done by a  man but it remained undone
joy,i feel joy usually after each taken exam the last one was in  february
fear,it was not long ago when i and two of friends of mine got quite drunk  and one of them began to rave under the influence of the alcohol  i felt fear of what could have happened
anger,i felt anger at my last exam i felt angry with our teacher  because he did not rate me objectively and i failed
sadness,i met a girl some time ago and i cared very much about her but it  happened so that we left each other i felt some sort of sadness i think  i can call it so
disgust,i had a very good friend boy and i thought i could rely on him  but he behaved badly with a girl who used to trust us completely
shame,immediately after the new year holidays i happened to visit a  party where there was a lot of alcohol and i became drunk on the  next day i felt sort of ashamed when i remembered what i had said  and done on the night before
guilt,last year i put off an exam for the autumn session without  knowing if there was a supplementary examination session when i  came home with my exam unpassed i felt guilty before my parents  when i remembered how much they had done for me
joy,when i was admitted to the higher institute
fear,i felt fear when i fell down and broke my leg into pieces and i  could not feel it at all
anger,i felt angry when i failed in an exam about which i knew quite a  few things and i did not deserve to be plucked
sadness,when my mother and father were on an excursion in chechoslovakia  and i was at a student camp and i heard over the radio about the  events that were taking place there
disgust,i felt disgust with alcohol in general when a close friend of  mine got so drunk that he didnt realize what he was doing and it  was quite shameful
shame,i felt ashamed when my parents found out that i had deceived  them
guilt,i felt guilty when i had taken the car keys and i had an accident  but as my parents did not know who was to blame they punished my  brother because i had no driving licence and they thought it  impossible that had driven the car
joy,i felt joy when i was admitted to the higher agricultural  institute
fear,i feel fear quite often but this feeling was very strong last  year when my husband was quite unexpectedly sent to the hospital
anger,that was what i felt with a teacher who put down quite unreal  marks
sadness,i felt sad when a friend of mine died and i felt that something  had irrevocably gone away from me
disgust,i felt disgust with a lady teacher who used to nag to mock to  interrupt everyone of my fellow students each time we had a class  with her in our first year
shame,that was what i felt when i told my first lie and then was  cought
guilt,i felt guilty when i failed to take an exam though i had had  enough time to read for it but i hadnt made use of it
joy,i was for the first time on a brigade this year at that time my  sister was to bear a child i was mad with joy when i opened the  telegram from my parents and learned i had a nephew
fear,it was some years ago when one evening some people came home and  told us my father was badly injured in an accident
anger,i faced this feeling when i realized i wasnt admitted to the  institute in the first classifying in spite of the high mark i  had got at the entrance examination
sadness,always when i get separated from my friends and relatives from my  home town
disgust,i feel disgust with my first boyfriend who made fun of our love  in an abominable way
shame,i have always felt ashamed for some peoples behavior to their  too old parents i have felt hurt and shy when they have left  them to the mercy of fate
guilt,i feel always guilty before my parents when i come home and have  to tell them i have failed an exam
joy,naturally when i got myself discharged this was my second  birthday
fear,when i failed my first exam at the higher institute
anger,a nuisance used to live in our flat a month ago i experienced  this feeling when i tried to chase her out
sadness,after my fathers death
disgust,with an alcoholic
shame,once i had dinner at an elegant restaurant and i did not have  enough money to pay the bill there were a lot of people there  and i felt quite awkward
guilt,something very unpleasant happened when i was a soldier and i was  directly involved in it
joy,i felt the greatest burst of joy when after being heavily ill for  a long period my father came back home
fear,i was terrified during an axcursion in italy i was lost and left  alone in this unfamiliar country
anger,i took part in a football match the referee was extremely  partial to the opposite team this stirred up my discontent and  anger
sadness,when my first girlfriend an i left each other
disgust,during a summer holiday at a bar i happened to see a dead to the  world woman
shame,when i first had a sexual intercourse
guilt,i remember when i was a little boy i broke a swiss dinner set  quite involuntarily
joy,when i got a message that i was employed as a nurse at a  kindergarten
fear,when i first sat for an entrance examination
anger,when a teacher though pretending to be a highly cultivated  teacher and a man slapped a classmate of mine in the face quite  undeservedly
sadness,when i got separated from my first love
disgust,many times when my father used to come home drunk and maltreated  physically me and my mother
shame,when for the first and the last time i tried to crib and the  teacher was with her back to me but right when i was taking the  materials out she turned round and saw me
guilt,when at times unconscienciously i speak to my mother in a high  tome but after that i am sorry and i feel guilty
joy,being invited out by a person i wished to get closer to he  telephoned and invited me to go out with him the next night
fear,watching a horror movie with friends
anger,the breakup of a relationship after the event i was upsetsad  then angry maybe 23 weeks later
sadness,the funeral of a friend who was killed in a car accident she was  of my own age there were many of my own friends present as well  as her family etc
disgust,disgust for a person who treated me badly and has treated other  people similarly including lying hiding facts being  deceitful unfair etc
shame,losing my temper and allowing myself to act childishly by yelling  and screaming at a person who i felt had done me wrong in  effect lowering myself to their level
guilt,guilt at often being unable to visit a close relative in hospital  after her death i felt very guilty and wished i had done more
joy,achievement of a task by a friend who had begun a new job she  wasnt confident of handling the situation so was thinking of  leaving the job only after 2 days employment
fear,walking home at night after university part of the way there  are ano lights and i am walking down a thoroughfare with the  thouth of no one hearing me if i have to scream
anger,when my son omits to carry out certain duties at home that he  knows needs doing
sadness,when i saw my niece 5 yrs crying in the hallway for her mother  who had passed away about a month ago
disgust,with a woman who had walked into my place of employment and  urinated on the floor in front of everyone
shame,when i found a letter addressed to mum by my son 6 months  later he begged me not to sell his new shoes which he messed up  after wearing them for the first time
guilt,when i had lied to a friendson about some things we had  discussed and i had to be one better
joy,felt joy a few years ago when i was away on holiday and sat very  close to my best friend looking straight into the eyes
fear,i had to tell someone that i was interested in remaining celibate  and alone and that my spiritual master strictly prohibited  sexual relations outside of marriage this caused great fear  through lack of conviction afraid to hurt someones feelings  despite my own being hurt in the process
anger,in a sociology class i felt very angry towards some members of  society for exploiting the polynesian people dawn raids by  police martin luther king blacks in sa but this was just a  reflection of my own shortcomings
sadness,felt sad about some street kids in queii square aotea square  because they had been sniffing glue and some were very young i  went into the role of a performing clown
disgust,i was disgusted by my paranoid attitude towards myself my  homework at university and disgusted about my lack of retention  especially in learning another language
shame,i felt shame at the hurt i caused to my family especially my  parent father shame of hurting people emotionally a misconceived  selfblaming that didnt do me any good shame at being myself as  i am
guilt,i felt guilty at being part of the successful people felt guilty  at being a student when other people were not guilt about being  a potential success in various areas of society so stupid this  emotion
joy,when i meet old past pupils of mine and find they are all doing  well i feel joy yesterday i met a young woman 20 yrs id  taught her at 6 yrs then at 12 yrs and hadnt seen her for last  34 yrs she was no longer a waitress but a meter maid for  council
fear,a maori language oral test yeaterday although i had studied  intensely once in the examiners room i blew it i was so  nervous i couldnt reply easily it was very important but i  got only blankness
anger,a friend visited and made comments that my housegarden were not  as neattidy as in the past id not seen her a year she  implied id gone to the pack id only been working full time  and taking 3 university exams part time
sadness,when my father a 4th5th generation colonial from eng attacked  me verbally about my chosen partner a man whom he discarded  because his colour skin was not white his ultimate disgust  saddned me
disgust,people who came to our home and requested put out your smoke  that we should not smoke in our house and asked not even  politely it disgusted me because i think people need to adapt to  the situation
shame,put down by my father at a family outing at mutual family  friends dinner told not to speak the attitude by him was  negativei was in mid 20s i had done many things a wide range  of experiences probably greater than he
guilt,not attending school when am not sick but in need of mental  rest staff on your return query your sickness it is easier  in nz to be sick rather than confide other personal reasons  etc
joy,my 3 children each top his class in the final exams 1984
fear,a truck big one nearly mowed me off the road i was driving a  small lazer
anger,a shop in downtown wouldnt accept my visa card before december  last year
sadness,my dog of 16 and 12 years lord grey died in his sleep his  death caused me more and deeper sadness than i thought
disgust,a sour looking man was beating his thin dog in remuera
shame,i told mr winter of downtown fashion to go to when he did not  accept my visa
guilt,when i accepted a lunch invitation from a past male friend
joy,when my daughter was born
fear,when my mother entered surgery for a quadruple heart bypass i  felt intense fear at the time she was actually wheeled away
anger,when my husband got picked up in our new car for drunken driving  we had made a pact the other would not drink and so therefore  would be the driver for the evening etc i was not present at the  time
sadness,when my grandmother died very suddenly without warning
disgust,when the nz rugby union announced that they would proceed with  a rugby tour of south africa
shame,when i was unable to respond to a welcome in my indigenous  language of maori at an important function where i was the only  woman in the group and it was expected of me
guilt,when i made an excuse to get out of participating in an important  family occasion that i should not have missed
joy,being reunited with my family after not having seen them for 5  years at the airport sheer elation at getting through the  paper work collecting bags and the anticipation of coming  through the customs gate
fear,i caught a huge eel on a fishing line which i had pulled into the  boat i cut the line and threw the whole lot back into the water  later that day and about ten miles away i went swimming and  someone made the comment wondering how far eels could swim i  abruptly ended swimming for fear at an unseen eel for a few days  until we had left the district
anger,my partner without discussing with me the situation decided it  was time for us to have a break and went ahead and arranged his  own life for the next 612 months then told me the day before it  was about to happen having been tolerant and friendly for the  preceding week
sadness,i had been living in an overseas city and made the decision to  leave the city and come home about 12 months before i met a whole  new set of friends leaving them at the airport was sad and  traumatic as they had helped me in many ways and i knew i  wouldnt see many of them again
fear,after i had managed to fail my first year at university i was  scared as to what i was going to do with my future i didnt want  a mundane 95 job and yet i didnt know if i could pay my way  through an unsubsidized year at university to settle down and  continue my studies
anger,this situation keeps occurring when my little sister disagrees  with me or viceversa we have very similar temperaments and i  always end up feeling angry at her and myself for fighting so  much over unimportant trivial matters
sadness,when my grandmother who has been living with us for 14 years  had a stroke and was left paralysed on one side she has been  quite close to our family and to see her suffer in this way makes  me feel really sad
disgust,a gathering of a social sports club at which they proceeded to  show pornographic videos and then afterwards when most people  had had quite a bit to drink carried on in a very degrading  unmoral manner especially females exposing and flaunting  themselves with no shame or embarassment
shame,like guilt the most ashamed i have ever felt was when i began  to feel guilty about having sex with my boyfriend when it was  only the thing to do and not really an act of love
guilt,this feeling of guilt really applies to moralreligious views i  being catholic went against what i was brought up to believe in  and had a sexual relationship with my boyfriend many months  later when i was doing some deeper self analysis i began to feel  guilty and realized that i had gone against what i wanted for  myself and my future
joy,my mother along with some of my friends gave me a surprise  birthday party they invited a large number of my friends along  too
fear,my mother did not come home till late at night ages ago anyway  if i dont know where my parents are and when theyll be back i  start thinking that perhaps they have had an accident and are  perhaps dead
anger,because i am the captain of a basketball team i usually organise  a roster system so that everyone in the team can have a turn at  doing either a duty or a ref a lot of the time the girls cant  be bothered or just forget i usually have to fill in
sadness,so as to be closer to the university i have left home and moved  into auckland it now seems as if i have left home especially  my family forever
disgust,a friend of mine goes out with this guy she sleeps with him but  is quite happy for him to play around as well as herself
guilt,i did not attend a social studies observation class for 1 whole  week i am a student trainee teacher anyway the other teachers  thought this was okay because the teacher i was supposed to  observe was not well liked the teacher was in fact really nice  to me but i wanted to get out of teaching a hard topic he had  given me
joy,passing my pharmacy exams which meant my tertiary education for  pharmacy completed
fear,when i was in a car with my parents and friends and we had to  back up reverse pass a river which when i recall it i was only  about 5 yrs seemed we were going to fall in and drown
anger,when my boyfriend wouldnt dance with me on my graduation night  because he thought i could dance with my friends who were  friendly
sadness,when my sister really my niece died of cancer at the age of 2  yrs after i took her to the doctor at the age of 1 and he  diagnosed it
disgust,my brother gave me a beating because he could not beat me  verbally
shame,i found i was pregnant and unmarried
guilt,when i had to go to reconciliation before converting to  catholicism but then once received ok
joy,joy for me is when all my family gather around home for special  occasions as christmas etc it really gives me joy to see my  family and relatives and to observe natures productivity process  which have been going on for centuries
fear,i had this experience of fear when few people were fighting at a  social one night which one of my relative was involved my fear  was greatly for him because he was being assaulted badly
anger,never really had the experience just yet na
sadness,this occurred when my girlfriend and i have to finish our  relationship due to some circumstances between her and her  family i was really sad hurt and couldnt really find any  reason why am i still living is this life is all about this  was one of few question which crept up vividly every time i  thought about what had happened
disgust,im very disgusted when i see people abusing their body with  drugs and alcohol they take advantage of these things usually  for an excuse for the fantasies which they like and so they do  things stupidly and unjustly
